ICAO,Full Name,Receiver callsign,Altitude max,Latitude min,Latitude max,Longitude min,Longitude max,Airfield altitude,Password,Country,APRS callsign,Comment
EBKH,Balen Keiheuvel,EBKH,740,51.17558,51.1859,5.20555,5.23645,40,,EB,,
EBBT,Brasschaat,EBBT,723,51.33017,51.35665,4.48602,4.52237,23,,EB,,
EBDT,Diest Schaffen,EBDT,730,50.99792,51.01076,5.0477,5.07746,30,,EB,,
EBNM,Namur - Suarlee,EBNM,881,50.48463,50.49427,4.75761,4.78038 ,181,,EB,,
EBTY,Tournai / Maubray,EBTY,749,50.5262,50.53666,3.48087,3.51177 ,49,,EB,EBTY|TestFabe,
EBWE,Weelde,EBWE,732,51.38047,51.40757,4.9221,4.99471,32,,EB,Weelde,
EBZR,Zoersel,EBZR,716,51.2511,51.28014,4.72632,4.78073,16,,EB,,
ARNSB,Arnsberg-Ruhrwiese,Arnsberg,884,51.38216,51.39536,8.0522,8.064,184,,ED,,
EDMA,Augsburg,EDMA,1162,48.41229,48.43413,10.90909,10.95372,462,,ED,,
EDRA,Bad Neuenahr Ahrweiler,EDRA,905,50.5553,50.5618,7.1245,7.1451,205,,ED,,
EDMC,Blaubeuren,EDMC,1500,48.41410,48.42502,9.78299,9.813895,676,,ED,,
BOHL,Bohlhof,Bohlhof,1260,47.64399,47.65773,8.3759,8.39611,560,Glka3G4kakKT.,ED,,
EDKB,Bonn-Hangelar,EDKB,760,50.76089,50.77834,7.141187,7.18444,60,,ED,,
EDVE,Braunschweig-Wolfsburg,EDVE,790,52.30893,52.32905,10.52882,10.57774,90,,ED,,
EDGB,Breitscheid,EDGB,1259,50.6732,50.68151,8.15952,8.17868,559,,ED,,
EDQE,Burg Feuerstein,EDQE,1210,49.78933,49.79613,11.12425,11.14234,510,,ED,,
EDVC,Celle-Arloh,EDVC,763,52.6813,52.693,10.10065,10.12013,63,,ED,,
CELL,Celle-Scheuen,EDVC,755,52.66731,52.67129,10.07655,10.0998,55,,ED,,
EDMD,Dachau-Gröbenried,EDMD,1190,48.22591,48.2308,11.41459,11.43054,490,,ED,,
EDPD,Dingolfing,EDPD|Edpd,1055,48.65454,48.6594,12.49023,12.50596,355,,ED,EDPD,
EDTD,Donaueschingen,EDTD,1380,47.96635,47.98276,8.51159,8.52721,680,,ED,,
EDNE,Erbach,EDNE,1175,48.33617,48.34696,9.91051,9.92117,475,,ED,,
EDPT,Gerstetten,EDPT,1302,48.61,48.6248,10.04425,10.071395,602,,ED,,
EDLG,Goch-Asperden,EDLG,716,51.68631,51.696414,6.0874,6.1183056,16,,ED,,
EDSG,Grabenstetten,EDSG,1410,48.52,48.54,9.41,9.45,710,,ED,,
EDST,Hahnweide,EDST,1056,48.6241,48.6376,9.41047,9.445 ,356,,ED,,
EDVH,Hodenhagen,EDVH,724,52.75459,52.77451,9.59434,9.62983 ,24,,ED,,
HOYA,Hoya,HoyaFlpl,715,52.80523,52.82069,9.14416,9.18205 ,15,,ED,HoyaFlpl|HoyaFlPl,"Attention, enregistré dans le wiki comme HoyaFlPl"
ISER,Iserlohn,Iserlohn,854,51.4305,51.44165,7.69109,7.70871 ,154,,ED,,
EDWJ,Juist,EDWJ,702,53.67761,53.68318,7.04817,7.06534 ,2,,ED,,
KAME,Kamen-Heeren,Kamen,962,51.58551,51.59574,7.69409,7.72499 ,62,,ED,,
EDCI,Klix,EDCI,848,51.26202,51.28471,14.48757,14.52328 ,148,,ED,,
KOEND,Koenigsdorf,Koenigsdf,1301,47.82641,47.83135,11.45264,11.47464 ,601,,ED,,
LANGE,Langenfeld,Langenfld,780,51.13626,51.14453,6.97467,6.99574 ,80,,ED,,
EDKL,Leverkusen,EDKL,748,51.00895,51.02079,6.999,7.01406,48,,ED,,
EDQL,Lichtenfels,EDQL,960,50.14171,50.15317,11.03723,11.05584,260,,ED,,
MONCH,Mönchsheide,Monchshei,905,50.50462,50.51491,7.24319,7.26705,205,,ED,,
EDPI,Moosburg,EDPI,1121,48.45183,48.4626,11.9326,11.951,421,,ED,,
EDDG,Munster / Osnabruck,EDDG,749,52.12582,52.14305,7.65476,7.7109,49,,ED,,
MUSB,Musbach,Musbach,1405,48.49385,48.51118,8.4702417,8.486485,705,,ED,,
EDTN,Nabern/Teck,EDTN,1070,48.6048,48.6176,9.4671,9.4839 ,370,,ED,,
EDWN,Nordhorn-Lingen,EDWN|MEPTEST,726,52.4510,52.4652,7.1681,7.1979,26,,ED,EDWN,
EDQO,Ottengrüner Heide,EDQO,1273,50.2246282546,50.2272013603,11.7271864414,11.7362429202,573,,ED,,
EDTQ,Pattonville,EDTQ,979,48.85881,48.86964,9.20921,9.24011 ,279,,ED,,
Pohlheim,Pohlheim,Pohlheim,936,50.5316150543,50.5328767022,8.728043,8.7407130003,236,,ED,,
EDFR,Rothenburg,EDFR,1099,49.38309,49.39416,10.21236,10.22399 ,399,,ED,,
EDTY,Schwabisch Hall,EDTY,1100,49.11507,49.1211,9.76887,9.79728,400,,ED,,
EDLD,Schwarze Heide,EDLD,766,51.60982,51.62249,6.83999,6.88119,66,,ED,,
EDLS,Stadtlohn,EDLS,748,51.99218,51.99908,6.82864,6.85208,48,,ED,,
TARMS,Tarmstedt,Tarmstedt,741,53.24571,53.25594,9.09479,9.12069 ,41,,ED,,
TIRS,Tirschenreuth,Tirschenr,1190,49.871299,49.879043,12.31411,12.33368 ,490,,ED,,
UNTER,Unterwössen,Uwoessen|UWoessen3,1255,47.72564,47.73572,12.42701,12.45022 ,555,,ED,UWoessen|UWoessen2|UWoessen3,
VEIL,Vielbrunn,Vielbrunn,1103,49.71015,49.72813,9.07142,9.08959 ,461,,ED,,
EDEW,Walldurn,EDEW,1103,49.577,49.586,9.389,9.412,403,,ED,,
EDER,Wasserkuppe,EDER,1602,50.49179,50.50151,9.94049,9.962678,902,,ED,,
EDQW,Weiden-Opf,EDQW,1105,49.67523,49.68242,12.11198,12.12167,405,,ED,,
EDNW,Weissenhorn,EDNW,1200,48.28667,48.29147,10.12956,10.1494,500,,ED,,
EDLX,Wesel,EDLX,722,51.6577,51.66791,6.58123,6.61213,22,,ED,,
EFHP,Haapavesi,EFHP,796,64.10695,64.11594,25.49233,25.52134,96,,EF,,
EFHV,Hyvinkaa,EFHV,831,60.64632,60.66407,24.85802,24.90416 ,131,,EF,,
EFJM,Jamijarvi,EFJM,854,61.76707,61.78379,22.69332,22.72765 ,154,,EF,,
EFME,Menkijarvi,EFME,801,62.94008,62.95219,23.50186,23.53018,101,,EF,,
EFNU,Nummela,EFNU,812,60.32471,60.34066,24.27825,24.31374 ,112,,EF,,
EFOP,Oripaa,EFOP,801,60.86709,60.88192,22.7266,22.7572 ,101,,EF,,
EFRY,Rayskala,EFRY,824,60.73876,60.75214,24.08811,24.12652 ,124,,EF,,
EFSE,Selanpaa,EFSE,827,61.05699,61.07005,26.78203,26.81258,127,,EF,,
EFTS,Teisko,EFTS,850,61.76733,61.77936,24.00673,24.04718 ,150,,EF,,
ABOY,Aboyne,UKABO,840,57.07191,57.07745,-2.85071,-2.83011,140,,EG,,
ASTO,Aston Down,UKAST,883,51.69562,51.72154,-2.15553,-2.11107,183,,EG,,
EGDD,Bicester,EGDD|UKBIC|Bicester,781,51.9103,51.92477,-1.14177,-1.11699,81,,EG,UKBIC|Bicester,
UKCHP,Chipping,UKCHP,890,53.88139,53.887841,-2.63071,-2.60936,190,,EG,,
DUNS,Dunstable,UKDUN|UKDUN2,850,51.861056,51.87608,-0.562687,-0.533418,150,,EG,Totternho|UKDUN2,
EAST,Easterton,UKEAS|HGC,810,57.58192,57.591068,-3.32783,-3.296936,110,,EG,UKEAS,
UKFES,Feshiebridge,UKFES,970,57.09638,57.10808,-3.89767,-3.88505,270,,EG,,
GRAN,Gransden Lodge Airfield,UKGRL,773,52.172092,52.188959,-0.12695,-0.10283,73,,EG,,
EGWN,Halton,EGWN,810,51.78232,51.80248,-0.75555,-0.72229 ,110,,EG,,
HUSB,Husbands Bosworth,Husbos,856,52.428046,52.445941,-1.05931,-1.01863 ,156,,EG,,
EGBP,Kemble,EGBP,833,51.66166,51.67333,-2.07637,-2.03723 ,133,,EG,,
KIRT,Kirton In Lindsey,UKKIR,760,53.45239,53.47199,-0.59791,-0.55499 ,60,,EG,,
EGHL,Lasham,EGHL,888,51.17441,51.19580,-1.05527,-1.00849 ,188,,EG,,
EGHF,Lee On The Solent,EGHF,710,50.80792,50.82338,-1.22091,-1.18905 ,10,,EG,,
MFLD,Milfield,UKmil,745,55.5811,55.5997,-2.10715,-2.0699,45,,EG,,
MYND,Mynd,Mynd,1115,52.50329,52.52912,-2.89879,-2.86098,415,,EG,,
NHL,North Hill,UKNHL,980,50.84547,50.85676,-3.29046,-3.25986 ,280,,EG,,
NYMP,Nympsfield,UKAST,910,51.70906,51.71911,-2.30065,-2.269754 ,210,,EG,,
UKPAR,Parham,UKPAR,732,50.91835,50.93022,-0.48332,-0.46597 ,32,,EG,,
POCK,Pocklington,UKPOC,727,53.91052,53.94206,-0.8294,-0.77163 ,27,,EG,,
PORT,Portmoak,Portmoak,810,56.184498,56.197309,-3.34453,-3.313957 ,110,,EG,,
UKRUF,Rufforth,UKRUF,720,53.93917,53.95605,-1.19785,-1.16839 ,20,,EG,,
SALT,Saltby,SALTBY,848,52.81813,52.83875,-0.73787,-0.68942,148,,EG,,
SEIG,Seighford,UKSE2,798,52.82326,52.83321,-2.21943,-2.18854,98,,EG,,
SUTT,Sutton Bank,SuttonBnk,990,54.2219,54.240428,-1.22449,-1.19759 ,290,,EG,,
UKTAL,Talgarth,UKTAL,996,51.9776,51.98458,-3.21067,-3.20111 ,296,,EG,,
UKPRK,The Park,UKPRK,911,51.12443,51.13392,-2.26132,-2.23278 ,211,,EG,,
UKUSK,Usk,UKUSK,724,51.7162,51.72274,-2.86385,-2.8398 ,24,,EG,,
WEST,Weston On The Green,UKWOG|Bicester,778,51.868923,51.889031,-1.24235,-1.20042,78,,EG,UKWOG|Bicester,
EGTB,Wycombe Air Park / Booker,EGTB|Booker,858,51.60505,51.61511,-0.817,-0.799,158,,EG,Booker,
EHDL,Deelen,EHDL,745,52.0425,52.07636,5.85792,5.89667,45,,EH,,
DVOO,Devoorst,DeVoorst,701,52.6813,52.68835,5.89866,5.92218,1,,EH,,
EHGR,Gilze-Rijen,EHGR,715,51.54732,51.58251,4.89347,4.96355,15,,EH,,
EHHV,Hilversum,EHHV,701,52.18369,52.20033,5.12943,5.1626 ,1,,EH,,
EHHO,Hoogeveen,EHHO,712,52.72185,52.74032,6.49315,6.54207 ,12,,EH,,
EHLW,Leeuwarden,EHLW,701,53.21586,53.23501,5.73044,5.77453 ,1,,EH,EHLW2,
NISTELRODE,Nistelrode,Nistelr,708,51.67911,51.6874,5.53637,5.56245 ,8,,EH,,
EHSL,Salland,salland,703,52.46507,52.47102,6.31755,6.34665,3,,EH,,
EHSB,Soesterberg,EHSB,721,52.12006,52.1459,5.24022,5.31206,21,,EH,,
EHTL,Terlet,EHTL,784,52.05235,52.06958,5.90814,5.94258 ,84,,EH,,
EHTE,Teuge,EHTE,705,52.23923,52.24732,6.03629,6.06650 ,5,,EH,,
VEEN,Veendam,Veendam,701,53.07735,53.09261,6.79723,6.84589 ,1,,EH,,
EHWO,Woensdrecht,EHWO,719,51.43654,51.46238,4.31046,4.37681,19,,EH,,
EKAB,Arnborg,EKAB,745,56.00799,56.01325,9.00121,9.02882,45,,EK,,
EKGL,Gorlose,EKGL,716,55.88152,55.88856,12.21481,12.23807,16,,EK,,
EKKL,Kalundborg,EKKL,700,55.69881,55.70171,11.2384,11.26378 ,0,,EK,,
EKKS,Kongsted,EKKS,740,55.248,55.25512,12.05093,12.07903 ,40,,EK,,
